1023213568,1023238143,JP
1023279104,1023311871,IN
1023311872,1023328255,US
1023344640,1023410175,CN
1023410176,1023672319,IN
1023672320,1023688703,HK
1023688704,1023692799,CN
1023705088,1023717375,JP
1023721472,1023729663,KR
1023737856,1023770623,ID
1023770624,1023778815,PK
1023787008,1023791103,ID
1023803392,1023852543,MY
1023852544,1023868927,BN
1023868928,1023901695,JP
1023901696,1023934463,TH
1023934464,1023950847,AU
1023959040,1023967231,AU
1023967232,1023975423,IN
1023983616,1023999999,SG
1024000000,1024032767,PH
1024032768,1024065535,AU
1024065536,1024131071,HK
1024131072,1024163839,IN
1024163840,1024184319,JP
1024188416,1024196607,TH
1024196608,1024229375,IN
1024229376,1024262143,JP
1024262144,1024327679,SG
1024327680,1024344063,AP
1024344064,1024352255,SG
1024360448,1024376831,AP
1024376832,1024393215,PH
1024393216,1024458751,HK
1024458752,1024491519,SG
1024491520,1024589823,IN
1024589824,1024655359,HK
1024655360,1024720895,TH
1024720896,1024786431,TW
1024786432,1025245183,JP
1025245184,1025277951,CN
1025277952,1025294335,PH
1025310720,1025343487,AU
1025343488,1025376255,CN
1025376256,1025507327,TW
1025507328,1026293759,KR
1026293760,1026392063,JP
1026392064,1026408447,CN
1026424832,1026490367,JP
1026490368,1026523135,TH
1026523136,1026539519,CN
1026539520,1026555903,KR
1026555904,1027080191,CN
1027080192,1027866623,TW
1027866624,1027997695,AU
1027997696,1028128767,TW
1028128768,1029046271,KR
1029046272,1029144575,JP
1029144576,1029160959,SG
1029177344,1029242879,AU
1029242880,1029308415,JP
1029308416,1029439487,TH
1029439488,1029570559,HK
1029570560,1029636095,ID
1029636096,1029668863,AU
1029668864,1029701631,IN
1029701632,1030750207,KR
1030750208,1031798783,JP
1031798784,1035993087,CN
1035993088,1037565951,JP
1037565952,1038614527,TW
1038614528,1039007743,CN
1039007744,1039138815,HK
1039138816,1039400959,CN
1039400960,1039466495,HK
1039466496,1039499263,JP
1039532032,1039597567,IN
1039597568,1039613951,ID
1039613952,1039638527,KR
1039654912,1039663103,IN
1039663104,1040187391,KR
1040187392,1040252927,IL
1040252928,1040318463,GR
1040318464,1040383999,CH
1040384000,1040400383,SA
1040400384,1040416767,UK
1040416768,1040424959,SE
1040424960,1040433151,PL
1040433152,1040449535,UK
1040449536,1040457727,FR
1040457728,1040465919,IT
1040465920,1040474111,DE
1040474112,1040482303,CZ
1040482304,1040515071,BE
1040515072,1040547839,SE
1040547840,1040580607,RU
1040580608,1040711679,UK
1040711680,1040719871,FR
1040719872,1040728063,DE
1040736256,1040744447,UK
1040744448,1040777215,DE
1040777216,1040842751,IE
1040842752,1040973823,IT
1040973824,1040982015,NL
1040982016,1040990207,DK
1040990208,1040998399,UK
1041006592,1041039359,CH
1041039360,1041072127,SE
1041072128,1041080319,UK
1041080320,1041088511,IT
1041088512,1041096703,AT
1041096704,1041235967,ES
1041235968,1041244159,UA
1041244160,1041268735,RU
1041268736,1041301503,NO
1041301504,1041367039,IE
1041367040,1041498111,UK
1041498112,1041563647,SE
1041563648,1041596415,PL
1041596416,1041629183,NL
1041629184,1041694719,ES
1041694720,1041760255,UK
1041760256,1041768447,DE
1041768448,1041776639,UK
1041776640,1041784831,CZ
1041793024,1041825791,UK
1041825792,1041842175,NL
1041842176,1041891327,UK
1041891328,1042022399,DE
1042022400,1042087935,UK
1042087936,1042120703,TR
1042120704,1042153471,PL
1042153472,1042284543,UK
1042284544,1042292735,CH
1042292736,1042317311,UK
